0,0
8,8
5,5
11,11
0,0
5,5
4,4
4,4
10,11
0,7
11,11
13,13
9,9
12,12
13,11
7,7
9,13
5,5
0,0
10,10
3,3
11,11
13,11
11,11
9,9
4,4
9,9
11,11
5,5
2,2
0,0
6,6
7,7
1,12
2,2
11,11
2,2
3,3
4,13
6,6
11,9
4,5
10,11
9,9
6,6
8,8
9,9
9,9
7,7
5,5
13,13
12,11
6,7
0,0
9,9
8,6
8,8
10,10
9,8
7,7
6,6
5,5
9,9
10,10
10,11
8,6
6,7
5,5
10,11
13,1
7,7
2,2
5,5
11,10
4,4
4,4
11,10
0,0
4,4
9,9
12,12
12,1
13,6
9,9
5,5
9,9
8,8
4,4
6,6
12,12
5,5
10,10
8,8
10,10
13,11
9,9
10,11
4,4
9,9
3,3
0,0
9,9
6,6
0,0
5,5
8,8
6,6
8,6
9,9
11,10
11,10
1,1
5,5
8,8
4,4
11,10
12,1
9,9
4,8
9,9
12,11
6,6
10,10
6,9
9,9
7,7
9,9
7,7
4,4
9,9
7,7
5,5
4,4
10,11
4,8
2,2
8,8
6,7
7,7
6,6
9,9
12,1
2,2
7,7
7,7
7,7
4,4
6,6
7,7
13,9
0,0
9,9
1,1
6,9
10,11
11,10
8,13
1,1
9,9
0,0
10,11
0,0
5,5
6,7
8,8
8,8
4,4
8,8
1,1
11,11
9,9
11,11
12,12
0,0
8,8
5,5
8,8
7,7
11,11
7,7
0,0
1,12
0,0
9,9
4,4
1,12
6,6
4,4
11,11
9,9
10,10
13,9
10,10
8,8
2,2
11,11
0,0
6,6
4,4
9,9
5,6
2,2
5,5
8,8
5,5
4,4
4,4
4,4
8,8
8,8
4,4
10,11
5,5
1,1
5,5
6,6
4,4
12,12
7,6
3,3
8,8
13,13
13,9
8,8
5,5
7,7
4,4
0,0
10,10
10,10
4,4
11,11
11,10
5,5
4,4
8,8
12,11
11,11
13,1
12,12
12,12
2,2
7,7
12,1
11,11
0,0
0,0
4,4
5,5
2,2
7,7
3,3
5,5
4,4
5,5
6,7
5,5
6,6
9,9
9,9
13,12
4,4
4,4
13,11
9,9
9,9
13,13
11,11
6,6
2,2
8,8
4,4
8,8
9,9
9,9
8,6
9,9
11,11
3,3
7,7
9,9
9,9
2,2
8,8
5,5
7,7
12,11
6,6
7,7
9,9
6,6
10,11
7,7
1,12
7,7
11,11
8,13
0,0
0,0
1,1
6,6
10,11
8,8
8,8
4,4
4,5
12,1
9,9
2,2
4,4
6,6
9,9
8,8
10,11
9,9
0,0
9,9
8,8
10,10
6,6
1,11
9,9
8,8
7,7
4,4
7,7
7,7
10,11
2,2
11,10
9,9
0,0
12,11
13,1
7,7
0,0
2,2
4,4
5,5
8,8
10,10
6,6
4,4
4,4
13,11
6,6
5,5
13,8
7,7
8,7
12,12
13,13
9,9
4,4
0,7
13,13
9,9
2,2
0,0
5,5
9,9
11,11
4,4
2,2
4,4
11,11
4,4
6,6
4,4
11,11
8,8
0,0
0,0
9,9
9,9
13,13
4,4
0,0
5,5
7,7
4,4
11,11
6,7
4,4
6,7
7,7
10,10
4,4
7,7
12,11
7,7
5,5
10,11
8,8
0,0
12,11
4,4
6,7
7,7
4,4
11,11
13,13
9,9
13,9
0,0
7,7
4,4
4,4
0,7
4,4
2,2
13,13
10,10
10,11
12,11
6,9
9,9
8,8
4,5
10,11
8,8
8,8
7,7
4,4
6,6
10,11
10,10
5,5
7,7
11,11
0,0
12,1
3,3
9,9
5,5
8,8
7,7
4,4
8,8
7,7
6,6
12,11
2,2
0,0
8,8
9,6
8,8
8,8
11,10
0,0
0,0
4,4
7,7
4,4
3,3
0,0
9,9
1,12
7,7
4,4
9,9
1,1
1,12
3,3
11,11
9,9
0,0
1,1
1,1
4,4
9,9
5,5
8,8
8,8
0,0
8,8
2,2
3,3
5,5
0,0
4,9
12,11
4,4
7,7
5,5
8,9
7,7
10,10
9,9
9,9
9,9
11,11
5,5
4,4
4,5
11,11
9,9
9,9
11,11
5,5
10,10
0,0
9,9
9,9
8,8
4,4
4,4
8,8
4,4
4,4
7,7
8,8
0,0
9,9
8,9
4,4
11,11
3,3
9,9
4,4
4,9
0,0
0,0
11,11
6,6
4,4
0,0
11,11
10,10
7,7
10,11
7,7
11,11
1,1
3,3
8,8
9,9
7,7
0,7
9,9
9,9
10,10
9,9
5,5
8,8
5,5
9,9
5,5
0,7
8,8
6,6
4,4
11,10
7,6
9,9
4,4
9,9
8,8
0,0
10,10
11,11
13,1
6,6
13,11
8,8
7,7
13,9
0,0
8,8
8,8
5,5
5,5
11,11
6,9
0,0
6,6
4,4
2,2
2,2
5,5
8,8
8,8
0,0
4,4
9,9
4,4
7,7
11,10
3,3
11,11
4,4
10,11
10,10
9,9
8,8
10,11
0,0
11,13
4,4
13,13
7,7
12,12
1,1
5,5
0,0
7,7
10,11
4,5
11,11
7,7
8,8
6,6
9,9
8,8
0,0
8,8
0,0
11,13
5,5
5,5
9,9
11,11
12,1
5,5
9,9
3,3
5,5
6,6
5,5
10,11
9,9
10,10
2,2
2,2
4,4
9,9
0,0
8,8
6,6
6,6
5,5
13,13
8,8
3,3
6,6
4,4
11,10
7,7
6,13
3,3
6,6
8,8
0,7
2,2
9,9
7,7
6,6
6,9
13,13
6,6
11,11
8,8
10,11
4,4
5,5
12,12
3,3
8,8
6,6
6,9
8,7
11,10
2,2
3,3
6,6
3,3
6,6
9,9
4,4
6,6
9,9
9,9
12,12
5,5
10,10
8,8
7,7
9,9
4,4
8,8
4,4
10,10
5,5
8,8
11,10
9,9
0,0
7,7
10,10
11,11
11,11
3,3
8,8
11,11
4,4
9,9
7,7
1,12
12,5
2,2
9,9
1,1
8,9
12,12
10,10
5,5
9,9
5,5
13,9
6,6
11,11
10,10
7,7
12,12
0,0
12,11
13,13
5,5
5,5
5,5
9,9
4,4
3,3
2,2
2,2
1,1
6,6
6,6
8,6
9,9
4,4
6,13
2,2
10,11
8,8
4,4
10,11
7,7
11,11
0,7
11,10
9,9
9,9
4,4
4,4
4,4
6,6
7,6
4,4
13,13
0,0
6,6
9,9
5,5
2,2
7,7
4,4
11,11
13,11
7,7
4,4
2,2
5,5
4,4
4,4
6,6
11,11
11,11
6,13
2,2
9,9
6,6
4,4
4,4
11,11
9,9
6,6
11,11
9,9
0,0
4,4
10,11
13,13
6,6
4,9
8,8
1,1
5,5
13,1
1,1
1,1
2,2
5,5
9,9
4,4
4,4
6,6
6,6
9,9
3,3
5,5
11,11
4,4
4,4
7,7
13,13
7,6
6,13
8,8
3,3
0,0
1,1
9,9
10,10
1,1
10,10
7,7
13,9
8,9
10,11
3,3
11,11
5,5
13,13
2,2
6,6
3,3
13,13
4,4
0,0
6,9
2,2
6,6
4,4
6,6
4,0
6,6
13,13
4,4
5,5
5,5
4,4
11,11
0,0
2,2
5,5
4,0
1,13
6,13
1,12
4,4
10,10
9,9
10,10
8,6
7,7
10,10
4,4
2,2
10,10
4,4
10,10
8,8
6,6
13,9
9,9
6,13
10,10
9,9
8,6
6,6
5,5
9,9
2,2
4,4
11,11
6,6
8,8
10,10
9,9
12,12
2,2
8,8
8,8
0,0
13,9
5,5
4,9
10,10
6,6
9,9
1,12
12,12
4,4
4,4
7,7
8,7
11,8
0,0
11,10
8,8
12,12
1,1
11,10
7,7
7,7
5,5
2,2
2,2
0,0
11,11
0,7
2,2
4,13
7,7
13,13
11,11
13,13
0,7
4,4
9,9
8,8
9,6
9,9
9,9
9,9
2,2
10,10
9,9
0,0
0,0
9,9
13,6
5,5
12,1
10,10
5,5
1,12
5,5
10,10
5,5
0,7
2,2
9,9
11,11
5,5
10,11
11,11
9,9
13,6
11,1
9,9
7,7
2,2
7,7
4,4
6,6
13,9
9,9
9,9
12,1
1,1
7,7
7,7
8,8
8,8
4,4
12,12
9,9
4,4
3,3
5,5
10,10
12,1
10,10
5,5
8,8
11,11
6,7
4,5
2,2
8,8
9,9
11,11
9,9
13,13
4,4
5,5
9,9
5,5
5,5
8,8
7,7
7,7
9,9
8,8
10,10
6,6
5,5
0,0
7,7
1,1
11,11
5,5
11,9
1,1
8,8
10,10
0,0
9,9
4,4
5,5
5,5
10,11
4,4
2,13
9,9
10,10
4,4
5,5
1,1
10,10
9,9
9,9
10,11
10,11
4,4
8,8
4,4
8,8
10,10
12,11
6,7
10,10
0,0
6,6
5,5
5,5
11,11
8,8
10,10
4,4
8,8
7,7
8,8
4,4
2,2
9,9
10,11
2,2
2,2
11,10
8,8
6,6
6,6
9,9
8,8
11,11
7,7
6,13
7,7
5,5
4,4
7,7
8,8
3,6
11,10
10,10
6,6
6,7
12,12
7,7
7,7
0,7
8,8
5,5
13,9
4,4
9,9
0,0
5,5
4,4
9,9
11,11
4,4
6,13
9,9
10,10
8,8
7,7
4,4
5,5
9,9
10,10
10,10
4,4
2,2
10,10
10,10
3,3
6,6
12,11
10,10
11,13
1,1
3,3
9,9
10,11
6,7
13,13
12,11
6,13
12,11
7,6
11,11
5,5
4,4
7,7
13,13
6,6
12,11
9,9
9,9
1,1
9,9
8,8
6,6
3,3
0,0
0,0
1,1
11,10
8,8
7,7
6,6
10,10
13,11
4,4
4,4
9,9
11,11
8,8
0,0
2,2
4,4
4,4
7,7
2,2
10,10
6,6
10,10
11,11
10,10
4,4
0,0
4,4
9,9
4,4
7,7
0,0
11,11
7,7
9,9
3,3
10,10
0,0
2,2
2,2
13,11
4,4
9,9
12,12
0,0
6,6
5,5
7,7
8,8
9,9
9,9
6,6
9,9
8,8
10,10
6,6
3,3
3,6
2,2
6,6
8,8
8,6
0,0
1,1
9,9
6,7
3,3
9,9
9,9
8,8
11,13
5,5
6,13
9,13
7,7
6,6
11,11
12,11
8,8
4,4
13,13
3,6
5,5
7,7
8,8
0,7
8,6
10,13
5,5
0,0
5,5
11,11
7,7
8,8
8,8
4,4
2,2
9,9
7,7
12,1
10,10
5,5
7,7
4,4
8,8
11,10
9,9
0,0
5,5
0,0
2,2
7,7
2,2
13,9
0,0
7,7
7,13
13,13
6,6
4,5
4,8
7,7
11,11
11,11
0,0
9,9
13,13
1,1
11,11
4,4
3,3
5,5
12,12
13,13
4,4
8,8
9,9
9,9
5,5
8,9
2,2
10,10
8,7
3,3
10,11
4,4
6,6
4,6
7,7
3,3
13,13
0,0
12,11
2,2
6,7
10,10
9,9
10,10
8,8
8,8
0,0
2,2
11,11
10,10
11,11
9,9
2,2
11,10
6,6
9,9
9,9
8,7
11,11
0,0
10,10
11,10
8,8
11,11
13,13
11,11
7,7
5,5
1,1
5,5
7,7
5,6
9,9
9,9
5,5
6,6
5,5
6,6
10,11
5,5
6,6
12,11
4,4
5,5
10,10
2,2
8,8
11,6
1,1
9,9
7,6
4,5
5,5
9,9
5,13
9,9
8,13
12,11
7,7
10,10
9,9
9,9
9,9
7,7
0,0
2,2
0,0
7,7
7,7
13,13
1,12
11,8
9,9
10,10
0,0
8,8
10,10
1,1
9,13
10,10
6,7
7,7
6,7
4,4
5,5
11,11
8,8
10,10
5,5
10,10
9,9
5,5
5,4
4,5
8,8
4,4
2,2
10,10
4,4
4,4
4,4
3,3
13,6
3,3
2,2
10,10
4,4
9,9
3,3
5,5
7,7
13,9
4,4
2,2
4,4
4,4
10,10
5,5
4,4
8,8
5,5
11,11
7,7
10,10
10,10
8,8
5,5
1,12
5,5
7,7
5,5
12,11
5,5
7,7
4,4
0,0
8,8
12,12
8,8
8,9
6,13
8,8
1,1
11,11
7,7
0,0
2,2
12,12
10,11
13,13
0,0
4,4
10,10
8,8
11,11
8,8
9,9
4,5
0,0
2,2
10,11
5,5
8,8
13,13
9,9
6,9
6,6
9,9
0,0
7,7
5,5
11,11
1,1
3,6
9,9
5,5
9,9
7,7
3,3
10,11
11,11
4,4
7,7
11,11
5,5
5,5
5,5
5,5
10,10
7,7
11,11
8,6
9,9
6,6
11,11
12,1
10,10
11,11
9,9
4,4
9,9
5,5
13,13
9,9
9,9
6,6
5,5
5,5
7,7
0,0
1,1
3,3
12,11
4,4
9,9
10,10
6,6
7,7
4,4
4,4
9,13
9,9
0,13
0,0
10,10
13,13
7,7
8,8
9,9
8,8
7,7
10,10
3,3
9,9
13,12
6,6
13,11
2,2
5,5
5,5
9,9
11,13
9,9
4,4
11,11
12,12
9,9
6,6
10,11
11,11
0,0
9,9
0,0
0,0
8,8
5,5
5,5
12,11
7,7
0,7
0,0
6,6
0,0
7,7
9,9
6,6
11,11
1,11
11,11
0,0
13,11
11,10
9,9
6,6
5,5
4,4
9,9
5,13
6,6
6,13
10,9
10,10
11,11
13,13
10,10
4,4
8,8
4,4
10,10
4,4
4,4
10,10
2,2
0,0
4,4
7,7
9,9
9,9
9,9
11,11
8,8
7,7
8,8
9,9
5,5
3,3
8,7
7,7
4,4
10,10
8,7
0,0
6,6
9,9
11,11
4,4
5,5
2,2
9,9
7,7
7,7
6,6
4,4
5,5
13,9
7,7
4,4
6,6
10,11
8,8
6,6
8,8
0,0
4,4
5,5
13,13
10,11
7,7
7,7
11,11
5,5
11,11
8,8
7,7
10,10
9,9
7,7
7,7
5,5
3,3
5,5
12,1
12,11
11,13
10,10
6,6
9,8
9,9
6,6
5,5
11,10
5,5
9,9
7,7
9,9
8,6
4,4
2,2
2,2
5,5
5,5
2,2
9,9
7,7
8,8
8,8
0,0
10,11
8,8
4,4
9,9
4,4
4,8
4,4
10,11
0,0
13,13
2,2
9,9
9,9
10,13
8,8
4,4
11,11
2,2
11,11
9,9
6,6
8,8
7,7
0,0
11,9
4,4
2,2
3,3
9,9
7,7
5,5
7,7
9,9
5,5
8,8
7,7
11,10
12,12
11,10
5,5
0,0
2,2
2,2
7,7
8,8
5,5
8,9
0,0
4,4
6,6
9,9
4,4
11,11
9,9
5,5
3,6
1,12
8,0
9,9
5,5
12,11
7,7
0,0
7,7
9,9
4,4
5,5
0,7
10,10
6,6
5,5
11,10
5,4
2,2
7,7
5,5
7,7
8,8
10,10
4,4
7,7
8,8
10,10
11,11
6,6
5,5
8,8
6,7
2,2
2,6
5,5
10,11
10,10
3,3
13,13
8,9
8,6
8,8
12,1
10,10
3,3
5,5
9,9
13,13
10,10
2,2
8,8
10,10
4,4
6,13
8,0
13,11
0,0
10,10
8,7
12,12
11,11
5,5
9,9
9,9
10,11
4,13
10,10
6,6
3,3
7,7
8,8
10,11
10,10
11,9
1,12
6,6
8,8
8,6
0,0
4,4
5,9
12,12
2,2
0,0
4,4
12,1
11,9
10,11
7,7
2,2
8,8
10,10
9,9
0,0
10,10
8,8
5,5
3,3
8,8
9,9
7,7
12,12
13,13
5,5
10,10
6,6
9,9
9,9
9,9
2,2
6,6
1,13
13,1
9,9
5,5
7,7
0,0
5,5
5,5
7,7
11,11
0,7
3,3
4,4
9,9
7,7
2,2
4,5
4,4
10,11
8,0
5,5
1,11
2,2
13,9
13,13
6,6
9,9
9,9
0,0
6,6
10,10
5,5
13,13
11,10
3,3
4,13
9,9
11,11
2,2
4,4
11,11
11,10
4,4
9,9
9,9
5,5
5,5
10,10
11,10
4,4
7,7
0,7
4,5
0,7
5,4
10,10
2,2
5,5
9,9
5,5
5,5
9,9
1,12
1,1
7,7
4,5
6,6
4,4
5,5
10,10
11,11
7,7
8,8
12,12
2,2
3,3
1,1
8,6
2,2
10,10
7,7
0,7
4,4
11,11
7,7
8,8
8,8
11,11
7,7
9,9
7,7
10,10
10,11
0,0
8,8
8,8
2,2
9,9
3,3
4,13
9,9
2,2
4,4
7,13
9,9
13,1
0,0
6,6
4,4
4,4
4,9
5,5
5,5
13,11
11,11
11,11
8,6
7,7
9,9
7,7
8,6
13,13
11,10
5,5
0,0
12,11
1,11
13,13
10,10
11,11
11,11
5,5
12,11
0,0
6,7
5,5
13,9
10,11
6,6
8,8
5,5
2,2
13,13
8,8
7,7
7,7
11,11
13,13
11,11
5,5
9,9
8,0
12,11
6,6
13,0
8,8
9,9
0,0
4,5
3,3
9,9
9,9
13,9
11,11
3,6
7,7
4,5
4,4
9,9
5,5
1,11
7,7
8,8
4,4
10,10
3,3
9,9
13,13
2,2
4,4
12,11
7,7
0,7
6,13
0,0
6,6
10,10
3,3
7,7
0,0
10,11
0,0
7,7
11,11
11,13
4,6
5,5
5,9
4,4
6,7
5,5
0,0
7,7
2,2
5,5
3,3
7,7
4,4
1,1
5,5
1,1
9,9
3,3
10,10
10,11
11,10
12,12
0,0
11,11
12,12
9,9
4,4
10,10
9,9
3,3
0,0
11,11
0,0
8,8
9,9
13,11
11,11
4,4
4,4
5,5
9,9
4,4
4,5
4,4
9,9
5,5
9,9
0,0
12,11
2,2
6,6
4,4
4,4
3,3
6,7
5,5
6,6
9,9
2,2
5,5
2,2
7,7
12,12
9,9
9,9
6,6
6,6
3,3
0,7
4,4
8,8
4,13
11,11
3,3
4,4
8,8
8,8
8,8
6,6
12,11
5,5
13,6
4,5
9,9
8,8
5,5
5,5
9,9
5,5
9,9
0,7
6,6
8,0
6,6
3,3
4,4
1,1
1,1
5,5
12,12
6,6
11,11
2,2
9,9
9,9
4,4
5,5
6,7
9,9
13,6
4,4
10,10
3,3
10,10
13,9
6,6
8,8
9,9
11,10
9,9
2,2
11,11
0,0
8,8
9,9
7,7
8,8
7,7
7,13
4,5
6,6
7,7
10,11
5,5
4,4
13,11
0,0
4,4
2,2
0,0
1,1
4,4
4,4
9,9
13,13
2,2
10,10
8,0
8,8
1,12
8,6
10,11
0,0
5,5
5,5
10,10
4,5
4,4
7,7
7,7
2,2
8,8
4,6
5,5
6,6
13,0
10,10
12,12
5,5
6,7
6,13
12,11
7,7
2,2
5,5
7,7
6,6
5,5
8,13
4,4
9,9
9,9
5,5
7,7
2,2
2,2
10,10
11,11
10,10
4,4
5,5
11,11
8,8
7,7
7,7
6,6
8,8
9,9
2,2
4,4
5,5
11,10
8,8
4,4
5,5
1,1
1,12
11,11
2,2
6,6
7,7
10,10
3,6
7,7
5,5
1,11
8,8
8,8
11,10
12,13
12,12
8,8
11,11
8,8
0,0
11,11
10,11
3,3
8,8
4,4
9,13
7,7
13,11
12,1
8,8
1,13
5,5
1,12
1,1
1,12
1,1
7,7
6,6
10,10
8,8
9,9
0,0
7,6
4,4
5,5
0,0
11,11
13,13
5,5
8,8
8,8
4,4
9,9
10,11
6,6
6,6
1,1
6,13
11,10
9,9
6,6
6,6
2,2
9,9
5,5
8,8
7,7
0,7
9,9
11,11
8,8
4,9
5,5
9,9
12,12
1,12
5,5
10,10
12,11
10,11
7,7
8,8
7,7
4,4
2,2
1,1
6,9
7,7
13,9
13,13
6,6
10,10
4,4
11,10
8,8
7,7
9,9
11,11
9,9
13,9
12,11
6,6
2,2
4,4
5,5
7,7
0,1
5,5
8,8
11,11
2,2
2,2
10,11
8,8
2,2
9,9
8,8
11,11
0,0
10,11
6,6
11,10
7,7
11,11
8,8
0,0
0,0
0,0
0,0
8,8
10,10
8,8
9,9
4,5
9,9
5,5
7,7
0,0
2,2
11,11
4,4
7,7
7,7
8,8
6,6
12,12
4,4
7,7
3,3
11,10
12,1
9,9
11,11
7,7
9,9
8,8
4,4
4,4
5,5
4,4
9,9
4,4
8,8
2,2
2,2
8,8
11,11
7,7
5,5
7,7
0,0
10,10
9,9
9,9
8,8
5,5
12,11
8,8
5,5
4,4
13,13
0,0
9,8
2,2
5,5
11,10
10,10
12,11
6,13
4,4
8,8
8,8
6,9
6,7
8,8
9,9
6,6
10,10
5,5
7,7
4,4
5,5
7,7
8,8
6,6
7,7
5,5
5,5
11,10
12,12
8,8
7,7
5,5
1,1
3,3
12,11
0,0
10,11
4,4
8,8
10,11
5,5
5,5
2,2
13,11
0,0
5,5
11,11
9,9
0,0
10,10
0,0
11,10
2,2
0,0
1,1
1,1
1,1
6,6
9,9
2,2
4,4
4,4
0,0
4,8
9,9
4,4
10,11
9,9
6,6
5,5
8,8
8,8
13,1
7,7
8,8
7,7
6,6
0,0
2,2
8,8
0,0
2,2
8,8
4,4
9,9
10,10
12,11
0,0
2,2
13,9
8,6
8,8
11,11
9,13
8,8
5,5
5,5
13,11
12,12
0,0
10,11
8,8
3,3
7,7
10,10
7,7
10,10
9,9
9,9
6,6
9,9
11,11
9,9
11,11
5,5
7,7
10,11
12,11
7,7
2,2
4,4
10,11
8,8
3,3
5,5
9,9
6,6
5,5
10,10
11,11
9,9
4,6
11,11
5,5
5,5
5,5
13,9
0,0
13,13
10,10
10,10
4,4
10,11
11,11
4,4
0,0
0,0
6,6
6,6
6,6
4,4
2,2
6,6
13,13
9,9
13,11
11,10
8,8
3,3
12,12
11,11
8,8
8,8
12,11
9,9
5,5
11,11
11,11
7,7
12,1
9,9
10,10
0,0
11,11
5,5
10,10
5,13
13,9
3,6
11,10
9,9
10,10
9,9
4,4
8,0
1,1
8,8
8,6
7,13
8,8
5,5
4,4
6,6
10,10
10,10
11,10
7,7
8,8
4,4
4,4
8,8
8,8
0,0
4,4
10,10
6,6
10,10
9,9
8,8
7,7
10,10
10,10
11,10
7,7
4,4
1,1
6,6
4,4
4,4
10,10
7,7
3,3
7,7
11,11
2,2
7,7
1,1
13,11
12,12
4,5
6,6
8,8
9,9
4,4
0,0
5,5
9,9
11,11
13,13
1,1
13,11
9,9
7,7
11,11
5,5
0,0
7,7
4,13
5,5
0,0
1,1
9,9
7,7
5,5
13,11
6,6
4,4
8,8
3,3
8,8
9,9
5,9
8,8
8,8
5,5
6,6
0,0
0,0
0,0
9,9
5,5
8,8
9,9
9,9
12,11
2,2
1,12
12,12
10,10
9,9
8,8
4,4
9,3
4,4
10,10
12,11
1,1
10,10
13,9
4,4
9,8
11,11
8,8
4,4
8,8
3,3
4,4
11,11
6,6
13,6
5,5
3,6
4,4
0,0
4,4
10,10
4,0
0,4
8,8
5,5
9,9
11,11
5,5
4,4
11,10
4,4
5,9
9,9
13,1
0,0
4,4
13,13
9,9
8,6
9,9
10,11
7,6
10,10
12,11
11,11
4,6
6,6
11,10
11,10
1,12
9,9
4,4
10,10
13,9
1,11
7,7
6,9
6,6
7,7
10,11
13,13
9,9
3,3
6,6
4,4
5,5
7,7
13,9
13,6
9,9
8,8
4,4
5,5
6,6
9,9
10,10
6,6
0,0
4,4
5,5
9,9
8,8
8,0
8,8
11,11
5,5
4,4
9,9
4,5
12,12
10,10
11,11
6,6
9,9
8,8
11,10
8,8
7,13
4,4
8,8
5,5
0,0
8,8
2,2
11,11
7,7
11,10
4,4
5,5
6,9
7,7
9,9
5,5
9,9
13,1
9,9
7,7
8,8
10,10
6,6
9,9
1,1
9,9
5,5
7,6
9,9
8,8
10,11
10,10
4,4
13,13
2,2
7,7
13,13
9,9
9,9
5,5
11,10
10,11
2,2
2,2
10,11
13,1
6,6
0,7
10,10
5,5
9,9
10,11
13,9
5,5
1,1
9,9
5,5
0,9
2,2
5,5
2,2
11,11
5,5
11,11
11,10
7,7
8,8
4,4
0,0
10,10
6,6
8,8
13,11
5,5
11,11
4,4
5,5
0,0
11,11
11,10
4,4
9,9
9,9
11,11
6,6
4,4
11,11
4,4
5,5
5,5
13,11
12,11
2,2
6,7
5,5
9,9
8,8
6,6
11,11
9,9
5,5
13,9
8,8
6,6
9,9
7,7
13,13
4,4
9,9
3,3
9,9
0,7
3,3
6,7
8,8
11,11
8,8
9,13
8,7
9,9
4,4
7,7
2,2
8,8
11,11
8,0
8,8
4,4
6,7
8,8
5,5
6,6
10,10
2,2
7,7
9,9
9,9
0,0
9,9
4,4
4,4
8,8
9,9
4,4
10,11
6,6
9,9
10,10
3,6
9,9
7,7
4,4
11,11
6,6
6,6
11,11
0,0
7,7
5,5
7,7
9,9
4,4
0,0
12,1
5,5
7,6
10,10
12,12
13,13
7,7
9,9
3,13
12,11
7,7
4,4
9,9
11,11
9,9
3,3
2,2
7,7
5,9
1,1
0,0
5,5
4,4
10,11
2,2
0,0
7,7
12,12
9,9
6,6
6,6
0,0
1,1
11,11
4,4
5,5
8,9
1,1
8,6
4,4
7,9
6,9
4,4
6,6
4,4
8,8
4,4
8,8
12,11
11,11
9,9
7,7
10,10
8,8
8,8
13,12
9,9
7,7
7,7
3,3
0,0
2,2
9,9
7,7
6,6
3,3
0,0
8,8
9,9
8,4
4,4
5,5
10,13
5,5
4,4
4,4
12,11
4,9
8,8
6,6
10,10
10,10
7,7
1,1
9,9
6,6
7,7
4,4
5,5
0,0
13,9
7,7
6,6
12,12
0,7
10,10
10,10
4,4
13,13
5,5
7,7
6,6
4,4
10,11
7,7
6,7
1,12
7,6
12,12
8,8
8,8
5,13
9,9
7,7
6,6
10,11
9,9
4,8
6,6
9,9
8,8
13,11
6,6
1,1
7,7
6,6
8,8
6,6
9,9
13,9
13,11
7,7
2,2
8,8
5,5
6,9
7,7
2,2
9,9
10,10
1,1
11,11
1,13
7,7
12,11
5,5
9,9
13,13
9,9
7,7
0,0
13,9
8,8
12,12
1,1
10,10
0,0
6,6
11,11
11,11
8,7
8,8
8,8
6,6
5,5
10,11
0,0
7,7
9,9
13,9
7,7
11,9
8,8
0,0
4,5
7,7
3,3
8,8
2,2
4,4
0,0
1,12
6,7
4,4
6,6
2,2
4,4
6,6
5,5
0,0
8,8
4,4
5,5
9,9
6,6
11,11
7,7
11,10
5,5
6,6
4,4
4,4
1,12
9,9
2,2
9,9
6,6
5,5
4,8
6,6
7,7
0,0
7,7
8,8
7,7
13,13
6,7
5,5
3,3
2,2
9,9
6,7
0,0
1,1
9,9
6,6
5,5
6,6
7,6
4,4
7,7
10,10
5,5
9,9
6,9
1,1
10,10
9,9
7,7
10,11
13,11
7,7
9,9
7,7
8,8
7,7
9,9
4,8
0,7
12,11
2,2
4,4
5,5
4,4
8,0
0,7
11,11
7,7
1,1
7,7
10,10
2,2
12,1
6,6
7,7
2,2
6,6
7,7
11,10
4,4
5,5
11,11
0,0
9,9
12,12
11,11
10,11
4,4
10,11
4,0
5,5
10,10
4,4
7,7
7,7
6,6
10,11
9,9
2,2
8,8
8,8
4,4
10,10
5,5
5,5
9,9
7,7
4,4
9,9
7,7
4,9
8,8
8,8
5,5
3,3
6,6
11,11
2,2
2,2
0,0
2,2
7,6
11,11
5,5
4,4
10,10
13,13
4,4
7,7
5,5
4,4
6,7
2,2
13,13
13,13
11,11
11,11
